Date_Full,Bikes_Recorded
2018-01-01,173656.0
2018-02-01,128877.0
2018-03-01,193909.0
2018-04-01,253046.0
2018-05-01,285148.0
2018-06-01,313250.0
2018-07-01,376619.0
2018-08-01,315420.0
2018-09-01,486216.0
2018-10-01,519096.0
2018-11-01,436443.0
2018-12-01,901658.0
2019-01-01,1005968.0
2019-02-01,1092663.0
2019-03-01,1187686.0
2019-04-01,1251567.0
2019-05-01,1231999.0
2019-06-01,1260841.0
2019-07-01,1510223.0
2019-08-01,1124924.0
2019-09-01,1739916.0
2019-10-01,1606036.0
2019-11-01,1311556.0
2019-12-01,2508203.0
2020-01-01,2507001.0
2020-02-01,1470863.0
2020-03-01,1030180.0
2020-04-01,419471.0
2020-05-01,1830954.0
2020-06-01,2752755.0
2020-07-01,2690791.0
2020-08-01,1777615.0
2020-09-01,2886035.0
2020-10-01,2081461.0
2020-11-01,1347770.0
2020-12-01,1236430.0
2021-01-01,1296924.0
2021-02-01,1306908.0
2021-03-01,1912223.0
2021-04-01,1874290.0
2021-05-01,1962814.0
2021-06-01,2551311.0
2021-07-01,2096410.0
2021-08-01,1591088.0
2021-09-01,2645413.0
2021-10-01,2225796.0
2021-11-01,1834618.0
2021-12-01,1443794.0
