ID,Correct_Counter_Name,District_of_Paris
100003096,97 Avenue Denfert Rochereau SO-NE,75014
100003097,105 Rue La Fayette E-O,75010
100003098,106 Avenue Denfert Rochereau NE-SO,75014
100003099,100 Rue La Fayette O-E,75010
100006300,135 Avenue Daumesnil SE-NO,75012
100006301,158 rue de Rivoli (Voie Bus),75001
100007049,28 Boulevard Diderot E-O,75012
100036718,39 Quai Francois Mauriac NO-SE,75013
100036719,18 quai de l'hotel de ville NO-SE,75004
100041488,27 Boulevard Diderot E-O,75012
100042374,Voie Georges Pompidou NE-SO,75001
100044493,67 boulevard Voltaire SE-NO,75011
100044494,10  avenue de la Grande Armee SE-NO,75017
100044495,7 Avenue de la Grande Armee NO-SE,75016
100044506,72 boulevard Voltaire NO-SE,75011
100047533,89 boulevard de Magenta NO-SE,75010
100047534,16 Avenue de la Porte des Ternes E-O,75017
100047535,Pont du Garigliano NO-SE,75015
100047536,102 Bd magenta SE-NO,75010
100047537,26 Boulevard de Menilmontant SE-NO,75011
100047538,Face au 16 Avenue de la  Porte des Ternes O-E,75017
100047539,21 Boulevard Auguste Blanqui SO-NE,75013
100047540,72 Bd Richard Lenoir  S-N,75011
100047541,Pont National SO-NE,75013
100047542,Face au 48 quai de la marne NE-SO,75019
100047544,77 Bd Richard Lenoir N-S,75011
100047545,Face 104 Rue d'Aubervilliers N-S,75019
100047546,face au 70 Quai de Bercy N-S,75012
100047547,6 rue Julia Bartet NE-SO,75014
100047548,Face au 25 quai de l'Oise NE-SO,75009
100047549,Pont National  NE-SO,75013
100047550,35 Boulevard de Menilmontant NO-SE,75011
100047551,Pont du Garigliano SE-NO SE-NO,75015
100049407,152 Boulevard du Montparnasse E-O,75014
100049408,10 Bd Auguste Blanqui NE-SO,75013
100050132,243 Boulevard Saint Germain NO-SE,75007
100050876,Totem 64 Rue de Rivoli E-O,75001
100056032,87 Avenue de Flandre NE-SO,75019
100056034,72 Avenue Flandre SO-NE,75019
100056035,Quai des Tuileries,75001
100056036,2 avenue de la Porte de Bagnolet O-E,75020
100056038,44 avenue des Champs Elysees SE-NO,75008
100056039,180 Avenue d'Italie N-S,75013
100056040,129 Rue Lecourbe SO-NE,75015
100056041,147 avenue d'Italie S-N,75013
100056042,33 avenue des Champs Elysees NO-SE,75008
100056044,132 Rue Lecourbe NE-SO,75015
100056045,Pont de la Concorde N-S,75007
100056046,pont des Invalides S-N,75007
100056047,Pont de la Concorde S-N,75007
100056223,pont des Invalides N-S,75007
100056225,3 avenue de la Porte D'Orleans S-N,75014
100056226,face au 8 avenue de la porte de Charenton NO-SE,75012
100056326,72 rue de la Chapelle N-S,75018
100056327,face au 4 avenue de la porte de Bagnolet E-O,75020
100056329,Pont Charles De Gaulle NE-SO,75013
100056330,36 Quai de Grenelle NE-SO,75015
100056331,face au 40 Quai D'Issy NE-SO,75015
100056332,Pont de Bercy NE-SO,75012
100056334,38 rue Turbigo SO-NE,75003
100056335,Quai d'Orsay E-O,75007
100056336,27 Quai de la Tournelle NO-SE,75005
100057329,Totem 85 quai d'Austerlitz,75013
100057380,Totem Cours la Reine,75008
100057445,Totem 73 boulevard de Sebastopol,75002
100060174,21 boulevard Saint Michel S-N,75005
100060175,30 rue Saint Jacques N-S,75005
100060178,90 Rue De Sevres,75015
100063173,74 Boulevard Ornano S-N,75018
100063174,69 Boulevard Ornano N-S,75018
100063175,20 Avenue de Clichy,75018
100065336,35 boulevard de Menilmontant,75011
300014702,254 rue de Vaugirard,75015
300021312,30 rue Saint Jacques N-S,75005
300021320,69 Boulevard Ornano N-S,75018
